Rank,Title,Year,Director,Canon Score,TMDB Rating
186,Whisper of the Heart,1995,Yoshifumi Kondo,77,7.948
187,"Goodbye, Dragon Inn",2003,Tsai Ming-liang,77,6.753
188,Waltz with Bashir,2008,Ari Folman,77,7.683
189,Holy Motors,2012,Leos Carax,77,6.98
190,My Sassy Girl,2001,Kwak Jae-yong,76,7.525
191,The Umbrellas of Cherbourg,1964,Jacques Demy,76,7.388
192,Pather Panchali,1955,Satyajit Ray,76,7.831
193,Pandora's Box,1929,G.W. Pabst,76,7.5
194,Decision to Leave,2022,Park Chan-wook,76,7.3
195,"Je T'Aime, Je T'Aime",1968,Alain Resnais,75,6.469
196,Spartacus,1960,Stanley Kubrick,75,7.535
197,Jean de Florette,1986,Claude Berri,75,7.7
198,BPM (Beats per Minute),2017,Robin Campillo,75,7.706
199,The Gold Rush,1925,Charlie Chaplin,75,7.983
200,Capernaum,2018,Nadine Labaki,75,8.144
201,Eyes Wide Shut,1999,Stanley Kubrick,75,7.482
202,Lost in Translation,2003,Sofia Coppola,75,7.387
203,A Prophet,2009,Jacques Audiard,75,7.572
204,There Will Be Blood,2007,Paul Thomas Anderson,75,8.079
205,Taxi Driver,1976,Martin Scorsese,75,8.131
206,Tropical Malady,2004,Apichatpong Weerasethakul,74,6.703
207,Sans Soleil,1983,Chris Marker,74,7.425
208,Romeo and Juliet,1968,Franco Zeffirelli,74,7.404
209,Still Alice,2014,Wash Westmoreland,74,7.5
210,The Garden of Words,2013,Makoto Shinkai,74,7.6
211,Tangerines,2013,Zaza Urushadze,74,7.654
212,M,1931,Fritz Lang,74,8.066
213,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,74,8.124
214,The Act of Killing,2012,Joshua Oppenheimer,74,7.665
215,The Deer Hunter,1978,Michael Cimino,74,7.984
216,The Red Shoes,1948,Emeric Pressburger,74,8
217,The Turin Horse,2011,Béla Tarr,73,7.61
218,The Killing Fields,1984,Roland Joffé,73,7.457
219,Beauty and the Beast,1946,Jean Cocteau,73,7.498
220,The Kid,1921,Charlie Chaplin,73,8.147
221,Departures,2008,Yojiro Takita,73,7.845
222,Memories of Murder,2003,Bong Joon Ho,73,8.1
223,Woman in the Dunes,1964,Hiroshi Teshigahara,72,8.2
224,The Cabinet of Dr. Caligari,1920,Robert Wiene,72,7.926
225,The Traitor,2019,Marco Bellocchio,72,7.653
226,Pride,2014,Matthew Warchus,72,7.69
227,Lawrence of Arabia,1962,David Lean,72,7.998
228,The Second Mother,2015,Anna Muylaert,72,8.031
229,Amy,2015,Asif Kapadia,72,7.579
230,Polisse,2011,Maïwenn,72,7.776
231,The Hunt,2012,Thomas Vinterberg,72,8.097
232,Raging Bull,1980,Martin Scorsese,72,7.917
233,Dogman,2018,Matteo Garrone,72,7.523
234,Before Sunrise,1995,Richard Linklater,72,7.969
235,The Piano,1993,Jane Campion,72,7.377
236,The Color of Paradise,1999,Majid Majidi,72,7.557
237,The Mother and the Whore,1973,Jean Eustache,71,7.3
238,Some Like It Hot,1959,Billy Wilder,71,8.1
239,Uncle Boonmee Who Can Recall His Past Lives,2010,Apichatpong Weerasethakul,71,6.652
240,The Thin Red Line,1998,Terrence Malick,71,7.447
241,Petite Maman,2021,Céline Sciamma,70,7.138
242,An Elephant Sitting Still,2018,Hu Bo,70,7.705
243,Hands Over the City,1963,Francesco Rosi,70,7.4
244,The Name of the Rose,1986,Jean-Jacques Annaud,70,7.489
245,Human Capital,2013,Paolo Virzì,70,7.448
246,Boogie Nights,1997,Paul Thomas Anderson,70,7.629
247,Central Station,1998,Walter Salles,70,8.14
248,Z,1969,Costa-Gavras,70,7.769
249,Malena,2000,Giuseppe Tornatore,69,7.429
250,Breathe,2017,Andy Serkis,69,7.448
251,Porco Rosso,1992,Hayao Miyazaki,69,7.794
252,Rebecca,1940,Alfred Hitchcock,69,7.9
253,Mediterraneo,1991,Gabriele Salvatores,69,7.623
254,Brokeback Mountain,2005,Ang Lee,69,7.786
255,Aftersun,2022,Charlotte Wells,69,7.671
256,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,Chantal Akerman,69,7.401
257,Knife in the Water,1962,Roman Polanski,69,7.286
258,The Secret Agent,2025,Kleber Mendonça Filho,68,8.026
259,Zama,2017,Lucrecia Martel,68,6.6
260,The House Is Black,1963,Forugh Farrokhzad,68,7.363
261,Ordet,1955,Carl Theodor Dreyer,68,7.945
262,"4 Months, 3 Weeks and 2 Days",2007,Cristian Mungiu,68,7.532
263,The Color of Pomegranates,1969,Sergei Parajanov,68,7.326
264,Anatomy of a Fall,2023,Justine Triet,67,7.5
265,A Little Princess,1995,Alfonso Cuarón,67,7.618
266,My Left Foot: The Story of Christy Brown,1989,Jim Sheridan,67,7.524
267,The Grand Budapest Hotel,2014,Wes Anderson,67,8.033
268,Metropolis,1927,Fritz Lang,67,8.102
269,Fallen Leaves,2023,Aki Kaurismäki,66,7.138
270,India Song,1975,Marguerite Duras,66,6.347
271,Sabrina,1954,Billy Wilder,66,7.51
272,The Man Who Wasn't There,2001,Joel Coen,66,7.517
273,Moonrise Kingdom,2012,Wes Anderson,66,7.674
274,The Taste of Others,2000,Agnès Jaoui,66,6.822
275,Blue Velvet,1986,David Lynch,66,7.613
276,2001: A Space Odyssey,1968,Stanley Kubrick,66,8.06
277,Sunrise: A Song of Two Humans,1927,F. W. Murnau,66,7.826
278,Gertrud,1964,Carl Theodor Dreyer,65,7.207
279,The Motorcycle Diaries,2004,Walter Salles,65,7.41
280,Repulsion,1965,Roman Polanski,65,7.391
281,Castle in the Sky,1986,Hayao Miyazaki,65,7.966
282,North by Northwest,1959,Alfred Hitchcock,65,7.978
283,Close,2022,Lukas Dhont,65,7.788
284,Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,65,7.9
285,The King of Comedy,1982,Martin Scorsese,65,7.783
286,Kiki's Delivery Service,1989,Hayao Miyazaki,65,7.827
287,Akira,1988,Katsuhiro Otomo,65,7.938
288,All We Imagine as Light,2024,Payal Kapadia,64,6.849
289,Magnolia,1999,Paul Thomas Anderson,64,7.728
290,Another Round,2020,Thomas Vinterberg,64,7.635
291,"Girl, Interrupted",1999,James Mangold,64,7.569
292,Black Orpheus,1959,Marcel Camus,64,6.96
293,The Tree of Life,2011,Terrence Malick,64,6.7
294,Vertigo,1958,Alfred Hitchcock,64,8.2
295,The Hour of the Furnaces,1968,Fernando E. Solanas,63,7.1
296,Memories of Underdevelopment,1968,Tomás Gutiérrez Alea,63,7.216
297,Horse Money,2014,Pedro Costa,63,7.2
298,This Is England,2007,Shane Meadows,63,7.474
299,Fantastic Mr. Fox,2009,Wes Anderson,63,7.813
300,Before Sunset,2004,Richard Linklater,63,7.811
301,The Machinist,2004,Brad Anderson,63,7.525
302,Black Narcissus,1947,Michael Powell,63,7.499
303,The Worst Person in the World,2021,Joachim Trier,63,7.4
304,Pacifiction,2022,Albert Serra,62,6.232
